start
orginal_choose: G:\My Drive\Video\Torrent_F\有码
root_to_compare: G:\Shared drives\Migration\Torrent_F\有码
root_to_remove: G:\Shared drives\Migration\To remove
root_to_remove1: G:\Shared drives\Migration\To remove1
316 : IPZ-230 (1.12, 'GB') < (5.48, 'GB')
317 : IPZ-176 (3.59, 'GB') < (6.5, 'GB')
318 : IPZ-144 (820.23, 'MB') < (4.89, 'GB')
319 : IPZ-139 (7.39, 'GB') < (11.27, 'GB')
320 : IPZ-896 (6.2, 'GB') < (12.07, 'GB')
321 : IPZ-111 (4.47, 'GB') < (4.87, 'GB')
322 : IPZ-006 (3.91, 'GB') < (6.22, 'GB')
323 : MSFH-001 (7.26, 'GB') < (8.59, 'GB')
324 : KTB-008 (1.63, 'GB') < (6.14, 'GB')
325 : KTB-019 (1.37, 'GB') < (6.08, 'GB')
326 : KTB-017 (1.05, 'GB') < (4.59, 'GB')
327 : KTB-013 (1.61, 'GB') < (6.2, 'GB')
328 : KTB-009 (2.07, 'GB') < (5.55, 'GB')
329 : MIBD-731 (39.41, 'GB') < (78.68, 'GB')
330 : HAWA-171 (7.85, 'GB') < (15.24, 'GB')
331 : MEYD-463 (4.68, 'GB') < (8.15, 'GB')
332 : MEYD-591 (4.63, 'GB') < (4.8, 'GB')
333 : MEYD-493 (4.63, 'GB') < (9.53, 'GB')
334 : MEYD-528 (5.87, 'GB') < (6.17, 'GB')
335 : MEYD-399 (4.73, 'GB') < (8.22, 'GB')
336 : MEYD-451 (1.78, 'GB') < (5.45, 'GB')
337 : MEYD-552 (8.4, 'GB') < (8.77, 'GB')
338 : MEYD-453 (4.62, 'GB') < (5.57, 'GB')
339 : MEYD-576 (4.86, 'GB') < (4.94, 'GB')
340 : MEYD-485 (1.14, 'GB') < (3.44, 'GB')
341 : MEYD-586 (3.04, 'GB') < (4.94, 'GB')
342 : MEYD-574 (4.81, 'GB') < (4.99, 'GB')
343 : MEYD-487 (5.56, 'GB') < (9.7, 'GB')
344 : MEYD-444 (4.79, 'GB') < (5.7, 'GB')
345 : MEYD-588 (4.34, 'GB') < (4.92, 'GB')
346 : MEYD-514 (4.72, 'GB') < (5.02, 'GB')
347 : MEYD-498 (4.67, 'GB') < (4.95, 'GB')
348 : MEYD-479 (1.3, 'GB') < (9.68, 'GB')
349 : MEYD-477 (4.73, 'GB') < (5.02, 'GB')
350 : MEYD-447 (4.66, 'GB') < (5.61, 'GB')
351 : PBD-219 (5.5, 'GB') < (40.24, 'GB')
352 : PBD-142 (2.99, 'GB') < (40.27, 'GB')
353 : SNIS-488 (4.75, 'GB') < (11.69, 'GB')
354 : SNIS-329 (1.23, 'GB') < (4.46, 'GB')
355 : SNIS-294 (1.02, 'GB') < (6.29, 'GB')
356 : SNIS-152 (4.6, 'GB') < (9.74, 'GB')
357 : SNIS-930 (7.21, 'GB') < (13.48, 'GB')
358 : SNIS-964 (6.06, 'GB') < (11.67, 'GB')
359 : SNIS-764 (1.23, 'GB') < (4.83, 'GB')
360 : SNIS-987 (4.71, 'GB') < (9.42, 'GB')
361 : SNIS-228 (1.79, 'GB') < (6.55, 'GB')
362 : SNIS-792 (1.24, 'GB') < (8.0, 'GB')
363 : SNIS-800 (1.27, 'GB') < (27.78, 'GB')
364 : SNIS-396 (1.3, 'GB') < (4.6, 'GB')
365 : SNIS-576 (1.68, 'GB') < (5.72, 'GB')
366 : SNIS-768 (1.29, 'GB') < (7.1, 'GB')
367 : SNIS-896 (4.67, 'GB') < (8.98, 'GB')
368 : SNIS-184 (1.41, 'GB') < (5.2, 'GB')
369 : SNIS-273 (4.13, 'GB') < (10.28, 'GB')
370 : SNIS-789 (1.57, 'GB') < (6.65, 'GB')
371 : SNIS-569 (4.09, 'GB') < (7.76, 'GB')
372 : SNIS-313 (4.3, 'GB') < (8.23, 'GB')
373 : SNIS-354 (6.82, 'GB') < (9.17, 'GB')
374 : SNIS-793 (1.55, 'GB') < (10.69, 'GB')
375 : SNIS-095 (1.2, 'GB') < (6.3, 'GB')
376 : SNIS-237 (1.42, 'GB') < (4.95, 'GB')
377 : SNIS-697 (1.1, 'GB') < (3.04, 'GB')
378 : SNIS-786 (2.37, 'GB') < (31.7, 'GB')
379 : SNIS-645 (5.87, 'GB') < (6.52, 'GB')
380 : SNIS-557 (1.12, 'GB') < (7.89, 'GB')
381 : SNIS-027 (1.53, 'GB') < (7.46, 'GB')
382 : SNIS-724 (1.16, 'GB') < (5.74, 'GB')
383 : SNIS-439 (1.23, 'GB') < (6.75, 'GB')
384 : SNIS-624 (1.43, 'GB') < (6.45, 'GB')
385 : SNIS-911 (2.24, 'GB') < (7.02, 'GB')
386 : SNIS-477 (6.02, 'GB') < (10.34, 'GB')
387 : SNIS-075 (1.77, 'GB') < (6.05, 'GB')
388 : SNIS-464 (6.42, 'GB') < (12.47, 'GB')
389 : SNIS-225 (1.27, 'GB') < (6.2, 'GB')
390 : SNIS-596 (1.76, 'GB') < (5.11, 'GB')
391 : SNIS-253 (4.96, 'GB') < (12.45, 'GB')
392 : SNIS-307 (593.4, 'MB') < (4.67, 'GB')
393 : SNIS-816 (1.23, 'GB') < (8.41, 'GB')
394 : SNIS-985 (6.04, 'GB') < (6.34, 'GB')
395 : SNIS-794 (1.23, 'GB') < (3.45, 'GB')
396 : URE-019 (6.59, 'GB') < (9.75, 'GB')
397 : URE-020 (6.6, 'GB') < (9.74, 'GB')
398 : BBAN-248 (5.87, 'GB') < (5.99, 'GB')
399 : BBAN-246 (3.38, 'GB') < (6.76, 'GB')
400 : BBAN-215 (3.49, 'GB') < (4.89, 'GB')
401 : PPT-087 (20.14, 'GB') < (40.27, 'GB')
402 : PPT-018 (5.6, 'GB') < (24.95, 'GB')
403 : PPT-034 (3.55, 'GB') < (16.33, 'GB')
404 : PPT-016 (2.37, 'GB') < (20.07, 'GB')
405 : DVDES-866 (2.69, 'GB') < (11.56, 'GB')
406 : DVDES-813 (1.89, 'GB') < (5.64, 'GB')
407 : DVDES-664 (1.33, 'GB') < (5.62, 'GB')
408 : DVAJ-269 (5.38, 'GB') < (6.03, 'GB')
409 : DVAJ-305 (5.47, 'GB') < (5.78, 'GB')
410 : DVAJ-411 (4.86, 'GB') < (4.98, 'GB')
411 : DVAJ-427 (5.29, 'GB') < (5.42, 'GB')
412 : DVAJ-375 (6.13, 'GB') < (6.46, 'GB')
413 : DVAJ-390 (5.01, 'GB') < (5.3, 'GB')
414 : DVAJ-364 (6.08, 'GB') < (6.66, 'GB')
